Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	Filtered on	To keep
Convert formats - TSI	WorkflowHub	880	https:/workflowhub.eu/workflows/880?version=1	Luke Silver, Anna Syme	tsi-annotation	2024-05-08	2024-05-09	1	1	47	seqtk_seq, fasta2tab, fasta_compute_length, tp_awk_tool, tp_replace_in_line, tp_grep_tool, tab2fasta, Cut1, tp_sed_tool, Paste1, seqtk_subseq, tp_sort_header_tool			GPL-3.0	10.48546/workflowhub.workflow.880.1	Australian BioCommons, Galaxy Australia	annot* in tags	True
Fgenesh annotation -TSI	WorkflowHub	881	https:/workflowhub.eu/workflows/881?version=5	Luke Silver	tsi-annotation	2024-11-17	2024-11-17	5	5	10	fgenesh_merge, jcvi_gff_stats, fgenesh_get_mrnas_gc, fgenesh_split, fgenesh_annotate, fgenesh_get_proteins, busco			GPL-3.0	10.48546/workflowhub.workflow.881.5	Australian BioCommons, Galaxy Australia	annot* in tags	True
Genome assembly workflow for nanopore reads, for TSI	WorkflowHub	1114	https:/workflowhub.eu/workflows/1114?version=1	Anna Syme	tsi, genome_assembly, nanopore	2024-09-03	2024-09-03	1	1	10	bandage_info, fastqc, porechop, bandage_image, fasta-stats, collapse_dataset, nanofilt, flye, split_file_to_collection			GPL-3.0-or-later	10.48546/workflowhub.workflow.1114.1	Australian BioCommons, Galaxy Australia	ITS in description	True
Repeat masking - TSI	WorkflowHub	875	https:/workflowhub.eu/workflows/875?version=3	Luke Silver, Anna Syme	tsi-annotation	2024-06-20	2024-06-20	3	3	2	repeatmodeler, repeatmasker_wrapper			GPL-3.0	10.48546/workflowhub.workflow.875.3	Australian BioCommons, Galaxy Australia	annot* in tags	True
GATK4 Fastq to joint-called cohort VCF with Cromwell on local cluster (no job scheduler)	WorkflowHub	147	https:/workflowhub.eu/workflows/147?version=1		alignment, gatk4, genomics, indels, snps, variant_calling, workflow	2021-08-17	2023-01-16	1	1	0		Sequence alignment, Variant calling, Variant filtering	Exome sequencing, Genetic variation, Whole genome sequencing	Apache-2.0		Australian BioCommons, Pawsey Supercomputing Research Centre	binn* in description	True
GATK4 Fastq to joint-called cohort VCF with Cromwell on SLURM	WorkflowHub	144	https:/workflowhub.eu/workflows/144?version=1		alignment, gatk4, genomics, indels, snps, variant_calling	2021-08-17	2023-01-16	1	1	0		Sequence alignment, Variant calling, Variant filtering	Exome sequencing, Genetic variation, Whole genome sequencing	Apache-2.0		Australian BioCommons, Pawsey Supercomputing Research Centre	binn* in description	True
Fastq-to-bam @ NCI-Gadi	WorkflowHub	146	https:/workflowhub.eu/workflows/146?version=1	Cali Willet, Tracy Chew, Georgina Samaha, Rosemarie Sadsad	alignment, broad, bwa-mem, dna, gadi, genomics, nci, pbs, wgs, genome, mapping, scalable	2021-08-17	2025-07-25	1	1	0		Genetic mapping, Mapping, Sequence alignment	Genetic variation, Genomics, Population genomics, Whole genome sequencing	GPL-3.0	10.48546/workflowhub.workflow.146.1	Australian BioCommons, Sydney Informatics Hub	metap* in description	True
Germline-ShortV @ NCI-Gadi	WorkflowHub	143	https:/workflowhub.eu/workflows/143?version=1	Tracy Chew, Cali Willet, Georgina Samaha, Rosemarie Sadsad	broad, dna, dna-seq, gatk4, genomics, germline, haplotyecaller, indels, snps, wgs, genome, variant_calling	2021-08-17	2025-07-25	1	1	0		Indel detection, SNP detection, Variant calling, Variant filtering	DNA mutation, DNA polymorphism, Genetic variation, Genomics, Population genomics, Whole genome sequencing	GPL-3.0	10.48546/workflowhub.workflow.143.1	Australian BioCommons, Sydney Informatics Hub	metap* in description	True
Flashlite-Trinity	WorkflowHub	149	https:/workflowhub.eu/workflows/149?version=1	Tracy Chew, Rosemarie Sadsad, Georgina Samaha	assembly, pbs, transcriptomics, container, de novo, global assemblies, illumina, rna, rna-seq, salmon, scalable, singularity, strandedness, transcriptome, trinity	2021-08-18	2023-01-16	1	1	0		De-novo assembly, Sequence assembly, Transcriptome assembly	Gene transcripts, Sequence assembly, Transcriptomics	GPL-3.0	10.48546/workflowhub.workflow.149.1	Australian BioCommons, Sydney Informatics Hub	metap* in description	True
Trinity @ NCI-Gadi	WorkflowHub	145	https:/workflowhub.eu/workflows/145?version=1	Georgina Samaha, Rosemarie Sadsad, Tracy Chew	assembly, gadi, nci, pbs, rnaseq, transcriptomics, rna, rna-seq, scalable, trinity	2021-08-17	2023-01-16	1	1	0		De-novo assembly, Sequence assembly, Transcriptome assembly	Transcriptomics	Apache-2.0	10.48546/workflowhub.workflow.145.1	Australian BioCommons, Sydney Informatics Hub	metap* in description	True
Flashlite-Supernova	WorkflowHub	151	https:/workflowhub.eu/workflows/151?version=1		10x, flashlite, supernova, tellseq	2021-08-18	2023-01-16	1	1	0		De-novo assembly, Phasing	Sequence assembly, Whole genome sequencing	GPL-3.0	10.48546/workflowhub.workflow.151.1	Australian BioCommons, Sydney Informatics Hub	metap* in description	True
SynProtX	WorkflowHub	1726	https:/workflowhub.eu/workflows/1726?version=3	Bundit Boonyarit, Matin Kositchutima, Tisorn Na Phattalung, Nattawin Yamprasert, Chanitra Thuwajit, Thanyada Rungrotmongkol, Sarana Nutanong	bioinformatics, cheminformatics, machine learning, proteomics	2025-06-05	2025-06-05	3	2	0			Bioinformatics, Biomedical science, Computational biology, Drug discovery, Machine learning, Translational medicine	MIT	10.48546/workflowhub.workflow.1726.3	BAID Team	binn* in description	True
GEN-ERA toolbox	WorkflowHub	416	https:/workflowhub.eu/workflows/416?version=1	Luc  Cornet		2023-01-13	2023-03-14	1	1	0				LGPL-3.0	10.48546/workflowhub.workflow.416.1	BCCM_ULC	metap* in description	True
Training a CNN model for classification of transcriptional subtypes and survival prediction in glioblastoma	WorkflowHub	883	https:/workflowhub.eu/workflows/883?version=1	Thomas Roetzer-Pejrimovsky	bioinformatics, pathology	2024-05-13	2024-05-13	1	1	0	GBMatch - GBMPredictor	Classification	Biomedical science, Machine learning, Oncology, Pathology, Transcriptomics	GPL-3.0	10.48546/workflowhub.workflow.883.1	BRAIN - Biomedical Research on Adult Intracranial Neoplasms	annot* in description	True
Provenance generation when running SUNSET with Autosubmit	WorkflowHub	1304	https:/workflowhub.eu/workflows/1304?version=1	Albert Puiggros		2025-02-12	2025-02-12	1	1	0				Apache-2.0		BSC-CES	metap* in description	True
MAGNETO (automated workflow dedicated to MAG reconstruction)	WorkflowHub	1815	https:/workflowhub.eu/workflows/1815?version=3	Samuel Chaffron, Audrey Bihouee, Benjamin Churcheward, Maxime Millet, Guillaume Fertin, Hugo Lefeuvre		2025-09-18	2025-09-25	3	3	0		Gene functional annotation, Genome assembly, Read binning, Read mapping, Sequence assembly, Sequencing quality control, Taxonomic classification	Metagenomics, Metatranscriptomics	GPL-3.0		BiRD	edam	True
RNAseq-quantif-pipeline	WorkflowHub	1963	https:/workflowhub.eu/workflows/1963?version=2	Éric Charpentier, Audrey Bihouee		2025-09-25	2025-09-26	2	2	0		Gene expression profiling, Gene functional annotation, Sequence alignment, Sequencing quality control	RNA-Seq	GPL-3.0	10.48546/workflowhub.workflow.1963.2	BiRD	binn* in description	True
Docker Classical Molecular Interaction Potentials	WorkflowHub	820	https:/workflowhub.eu/workflows/820?version=2	Adam Hospital, Genís Bayarri		2025-08-06	2025-08-06	2	2	0				Apache-2.0	10.48546/workflowhub.workflow.820.2	BioBB Building Blocks	binn* in description	True
Python Classical Molecular Interaction Potentials	WorkflowHub	774	https:/workflowhub.eu/workflows/774?version=2	Adam Hospital, Genís Bayarri		2025-08-06	2025-08-06	2	2	0				Apache-2.0	10.48546/workflowhub.workflow.774.2	BioBB Building Blocks	binn* in description	True
Jupyter Notebook Classical Molecular Interaction Potentials	WorkflowHub	773	https:/workflowhub.eu/workflows/773?version=3	Adam Hospital, Genís Bayarri		2025-08-06	2025-08-06	3	3	0				Apache-2.0	10.48546/workflowhub.workflow.773.3	BioBB Building Blocks	binn* in description	True
Jupyter Notebook Macromolecular Coarse-Grained Flexibility tutorial	WorkflowHub	551	https:/workflowhub.eu/workflows/551?version=3	Adam Hospital, Genís Bayarri		2025-08-06	2025-08-06	3	3	0				Apache-2.0	10.48546/workflowhub.workflow.551.3	BioBB Building Blocks	ITS in description	True
Docker Protein conformational ensembles generation	WorkflowHub	822	https:/workflowhub.eu/workflows/822?version=2	Adam Hospital, Genís Bayarri		2025-08-06	2025-08-06	2	2	0				Apache-2.0	10.48546/workflowhub.workflow.822.2	BioBB Building Blocks	binn* in description	True
Python Macromolecular Coarse-Grained Flexibility tutorial	WorkflowHub	553	https:/workflowhub.eu/workflows/553?version=2	Adam Hospital, Genís Bayarri		2025-08-06	2025-08-06	2	2	0				Apache-2.0	10.48546/workflowhub.workflow.553.2	BioBB Building Blocks	ITS in description	True
Python Protein conformational ensembles generation	WorkflowHub	487	https:/workflowhub.eu/workflows/487?version=2	Adam Hospital, Genís Bayarri		2025-08-06	2025-08-06	2	2	0				other-open	10.48546/workflowhub.workflow.487.2	BioBB Building Blocks	binn* in description	True
CWL Macromolecular Coarse-Grained Flexibility tutorial	WorkflowHub	552	https:/workflowhub.eu/workflows/552?version=1	Adam Hospital, Genís Bayarri		2023-08-02	2023-08-02	1	1	29	Compress MD simulation trajectories with PCA suite, Run Brownian Dynamics from FlexServ, Extract residue bfactors x PCA mode from a compressed PCZ file, Extract PCA collectivity (numerical measure of how many atoms are affected by a given mode) from a compressed PCZ file, Wrapper of the Ambertools Cpptraj module for converting between cpptraj compatible trajectory file formats and/or extracting a selection of atoms or frames., Class to extract atoms from a 3D structure., Extract PCA stiffness from a compressed PCZ file, Run Normal Mode Analysis from FlexServ, Uncompress MD simulation trajectories with PCA suite, Extract PCA info (variance, Dimensionality) from a compressed PCZ file, Compute PCA similarity between two given compressed PCZ files, Compute possible hinge regions (residues around which large protein movements are organized) of a molecule from a compressed PCZ file, Wrapper of the Ambertools Cpptraj module for calculating the Root Mean Square deviation (RMSd) of a given cpptraj compatible trajectory., Run Discrete Molecular Dynamics from FlexServ, Extract PCA Eigen Vectors from a compressed PCZ file, Extract PCA animations from a compressed PCZ file			Apache-2.0	10.48546/workflowhub.workflow.552.1	BioBB Building Blocks	ITS in description	True
Galaxy Macromolecular Coarse-Grained Flexibility tutorial	WorkflowHub	557	https:/workflowhub.eu/workflows/557?version=1	Adam Hospital, Genís Bayarri		2023-08-11	2023-08-11	1	1	27	biobb_flexserv_bd_run_ext, biobb_io_pdb_ext, biobb_flexserv_pcz_animate_ext, biobb_flexserv_nma_run_ext, biobb_structure_utils_extract_atoms_ext, biobb_analysis_cpptraj_convert_ext, biobb_flexserv_pcz_unzip_ext, biobb_flexserv_pcz_hinges_ext, biobb_flexserv_pcz_collectivity_ext, biobb_flexserv_dmd_run_ext, biobb_flexserv_pcz_zip_ext, biobb_flexserv_pcz_info_ext, biobb_flexserv_pcz_stiffness_ext, biobb_flexserv_pcz_evecs_ext, biobb_flexserv_pcz_bfactor_ext, biobb_analysis_cpptraj_rms_ext			Apache-2.0	10.48546/workflowhub.workflow.557.1	BioBB Building Blocks	ITS in description	True
Jupyter Notebook Structural DNA helical parameters tutorial	WorkflowHub	195	https:/workflowhub.eu/workflows/195?version=6	Adam Hospital, Genís Bayarri		2025-08-06	2025-08-06	6	6	0				Apache-2.0	10.48546/workflowhub.workflow.195.6	BioBB Building Blocks	ITS in description	True
Python Structural DNA helical parameters tutorial	WorkflowHub	286	https:/workflowhub.eu/workflows/286?version=5	Adam Hospital, Genís Bayarri		2025-08-06	2025-08-06	5	5	0				Apache-2.0	10.48546/workflowhub.workflow.286.5	BioBB Building Blocks	ITS in description	True
Jupyter Notebook Protein conformational ensembles generation	WorkflowHub	486	https:/workflowhub.eu/workflows/486?version=4	Adam Hospital, Genís Bayarri		2025-08-06	2025-08-06	4	4	0				other-open	10.48546/workflowhub.workflow.486.4	BioBB Building Blocks	binn* in description	True
Docker Structural DNA helical parameters tutorial	WorkflowHub	821	https:/workflowhub.eu/workflows/821?version=2	Adam Hospital, Genís Bayarri		2025-08-06	2025-08-06	2	2	0				Apache-2.0	10.48546/workflowhub.workflow.821.2	BioBB Building Blocks	ITS in description	True
Galaxy Protein conformational ensembles generation	WorkflowHub	490	https:/workflowhub.eu/workflows/490?version=1	Adam Hospital, Genís Bayarri		2023-06-01	2023-06-01	1	1	43	biobb_flexserv_bd_run_ext, biobb_analysis_cpptraj_convert_ext, biobb_flexserv_pcz_evecs_ext, biobb_analysis_cpptraj_mask_ext, biobb_flexdyn_imod_imode_ext, biobb_flexserv_nma_run_ext, biobb_gromacs_make_ndx_ext, biobb_structure_utils_extract_chain_ext, biobb_flexdyn_imod_imc_ext, biobb_flexdyn_concoord_dist_ext, biobb_io_pdb_ext, zip, biobb_flexserv_pcz_hinges_ext, biobb_analysis_gmx_cluster_ext, biobb_flexserv_pcz_zip_ext, biobb_flexdyn_prody_anm_ext, biobb_flexserv_pcz_animate_ext, biobb_flexdyn_nolb_nma_ext, biobb_flexdyn_concoord_disco_ext, biobb_flexserv_pcz_collectivity_ext, biobb_flexserv_dmd_run_ext, biobb_flexserv_pcz_info_ext, biobb_gromacs_trjcat_ext, biobb_flexserv_pcz_stiffness_ext, biobb_flexserv_pcz_bfactor_ext, biobb_analysis_cpptraj_rms_ext, biobb_structure_utils_extract_model_ext			other-open	10.48546/workflowhub.workflow.490.1	BioBB Building Blocks	binn* in description	True
CWL Protein conformational ensembles generation	WorkflowHub	488	https:/workflowhub.eu/workflows/488?version=2	Adam Hospital, Genís Bayarri		2023-06-06	2024-04-22	2	2	40	Clusters structures from a given GROMACS compatible trajectory., Extract PCA info (variance, Dimensionality) from a compressed PCZ file., Run Brownian Dynamics from FlexServ., Extract PCA collectivity (numerical measure of how many atoms are affected by a given mode) from a compressed PCZ file., Creates a GROMACS index file (NDX) from an input selection and an input GROMACS structure file., Extract PCA animations from a compressed PCZ file., Extracts a model from a 3D structure., Converts between cpptraj compatible trajectory file formats and/or extracting a selection of atoms or frames., Wrapper of the Concoord_dist software., Calculates the Root Mean Square deviation (RMSd) of a given cpptraj compatible trajectory., Extracts a selection of atoms from a given cpptraj compatible trajectory., Wrapper of the Nolb software., Wrapper of the imods_imc software., Run Discrete Molecular Dynamics from FlexServ., Wrapper of the imods_imode software., Extract PCA stiffness from a compressed PCZ file., Run Normal Mode Analysis from FlexServ., Extract PCA Eigen Vectors from a compressed PCZ file., Extract residue bfactors x PCA mode from a compressed PCZ file., Compute possible hinge regions (residues around which large protein movements are organized) of a molecule from a compressed PCZ file., Wrapper of the Prody software., Compress MD simulation trajectories with PCA suite., Extracts a chain from a 3D structure., Wrapper of the Concoord_disco software.			other-open	10.48546/workflowhub.workflow.488.2	BioBB Building Blocks	binn* in description	True
Docker Macromolecular Coarse-Grained Flexibility tutorial	WorkflowHub	823	https:/workflowhub.eu/workflows/823?version=2	Adam Hospital, Genís Bayarri		2025-08-06	2025-08-06	2	2	0				Apache-2.0	10.48546/workflowhub.workflow.823.2	BioBB Building Blocks	ITS in description	True
RDM_system_connector	WorkflowHub	1315	https:/workflowhub.eu/workflows/1315?version=1		bioinformatics tool, labbook	2025-03-03	2025-03-03	1	1	0				Apache-2.0		BioImage Informatics and Analysis Workflows	metap* in description	True
FAIR Statistics Aggregator for DOIs	WorkflowHub	1316	https:/workflowhub.eu/workflows/1316?version=1			2025-03-03	2025-03-03	1	1	0				CC-BY-4.0		BioImage Informatics and Analysis Workflows	metap* in description	True
chipimputation	WorkflowHub	1871	https:/workflowhub.eu/workflows/1871?version=1			2025-08-13	2025-08-13	1	1	0				MIT		BioX Fanatics	profil* in description	True
CWL-based (multi-sample) workflow for germline variant calling	WorkflowHub	526	https:/workflowhub.eu/workflows/526?version=1	Konstantinos Kyritsis, Nikolaos Pechlivanis, Fotis Psomopoulos	cwl, genomics, germline, variant calling, workflow	2023-07-05	2023-07-05	1	1	42		Variant calling	Bioinformatics	MIT	10.48546/workflowhub.workflow.526.1	Biodata Analysis Group	binn* in description	True
CWL-based RNA-Seq workflow	WorkflowHub	524	https:/workflowhub.eu/workflows/524?version=1	Konstantinos Kyritsis, Nikolaos Pechlivanis, Fotis Psomopoulos	cwl, rnaseq, transcriptomics, workflow	2023-07-05	2023-07-05	1	1	27		RNA-Seq analysis	Bioinformatics	MIT	10.48546/workflowhub.workflow.524.1	Biodata Analysis Group	metap* in description	True
CWL-based ChIP-Seq workflow	WorkflowHub	525	https:/workflowhub.eu/workflows/525?version=1	Konstantinos Kyritsis, Nikolaos Pechlivanis, Fotis Psomopoulos	cwl, chip-seq, epigenomics, workflow	2023-07-05	2023-07-05	1	1	53			Bioinformatics	MIT	10.48546/workflowhub.workflow.525.1	Biodata Analysis Group	metap* in description	True
CWL-based (single-sample) workflow for germline variant calling	WorkflowHub	527	https:/workflowhub.eu/workflows/527?version=1	Konstantinos Kyritsis, Nikolaos Pechlivanis, Fotis Psomopoulos	cwl, genomics, germline, variant calling, workflow	2023-07-05	2023-07-05	1	1	51		Variant calling	Bioinformatics	MIT	10.48546/workflowhub.workflow.527.1	Biodata Analysis Group	binn* in description	True
Library curation BOLD	WorkflowHub	833	https:/workflowhub.eu/workflows/833?version=1	Rutger Vos, Fabian Deister, Ben Price	dna barcoding	2024-04-24	2024-04-24	1	1	0			Bioinformatics, Data mining	GPL-3.0	10.48546/workflowhub.workflow.833.1	Biodiversity Genomics Europe (general)	binn* in description	True
Bactria: BarCode TRee Inference and Analysis	WorkflowHub	706	https:/workflowhub.eu/workflows/706?version=1		bioinformatics, python, snakemake, phylogenetics	2024-01-24	2024-02-05	1	1	0				Apache-2.0		Biodiversity Genomics Europe (general)	metap* in description	True
Count Feature RNA	WorkflowHub	1957	https:/workflowhub.eu/workflows/1957?version=1			2025-09-19	2025-09-19	1	1	0	FeatureCounts, HTSeq, htseqcount, RSEM, kallisto, Salmon			CC-BY-4.0		Bioinformatics Core CEITEC	annot* in description	True
AnnoAudit - Annotation Auditor	WorkflowHub	1330	https:/workflowhub.eu/workflows/1330?version=1	Phuong Doan	annotation, biodiversity, bioinformatics	2025-04-03	2025-04-03	1	1	0				MIT	10.48546/workflowhub.workflow.1330.1	Bioinformatics Laboratory for Genomics and Biodiversity (LBGB)	annot* in tags	True
Master of Pores 2	WorkflowHub	438	https:/workflowhub.eu/workflows/438?version=1		ont, transcriptomics, drnaseq, metatranscriptomics, nanopore	2023-02-20	2023-02-20	1	1	0			Metatranscriptomics, Transcriptomics	CC-BY-4.0		Bioinformatics Unit @ CRG	edam	True
nf-CBRA-snvs	WorkflowHub	1862	https:/workflowhub.eu/workflows/1862?version=1		bioinformatics, genomics, nextflow	2025-08-12	2025-08-12	1	1	0			Genomics, Rare diseases	MIT		Bioinformatics Unit IIS-FJD	annot* in description	True
PARROT-FJD	WorkflowHub	1864	https:/workflowhub.eu/workflows/1864?version=1		bioinformatics, genomics, nextflow	2025-08-12	2025-08-12	1	1	0			Bioinformatics, Genomics	CC-BY-4.0		Bioinformatics Unit IIS-FJD	binn* in description	True
WHALE	WorkflowHub	1865	https:/workflowhub.eu/workflows/1865?version=1		bioinformatics, genomics, nextflow, long-read-sequencing	2025-08-12	2025-08-12	1	1	0			Bioinformatics, Genomics	MIT		Bioinformatics Unit IIS-FJD	annot* in description	True
GLOWgenes	WorkflowHub	1866	https:/workflowhub.eu/workflows/1866?version=1		bioinformatics, gene prioritization, genomics, rare diseases	2025-08-12	2025-08-12	1	1	0		Variant prioritisation	Bioinformatics, Genomics	CC-BY-NC-SA-4.0		Bioinformatics Unit IIS-FJD	ITS in description	True
VIsoQLR	WorkflowHub	1869	https:/workflowhub.eu/workflows/1869?version=1		bioinformatics, genomics-visualization, rna	2025-08-12	2025-08-12	1	1	0			Bioinformatics, Data visualisation	CC-BY-4.0		Bioinformatics Unit IIS-FJD	ITS in description	True
polya_liftover	WorkflowHub	263	https:/workflowhub.eu/workflows/263?version=1	Ryan Patterson-Cross	cellranger, fair workflows, fastqc, liftover, multiqc, snakemake, transcriptomics, scrna-seq	2022-01-17	2023-01-16	1	1	0				MIT		Bioinformatics and Biostatistics (BIO2 ) Core	binn* in description	True
BioCDQA	WorkflowHub	1743	https:/workflowhub.eu/workflows/1743?version=1			2025-06-20	2025-06-20	1	1	0				Apache-2.0		Biomedical_LLM	metap* in description	True
BioCDQA	WorkflowHub	1744	https:/workflowhub.eu/workflows/1744?version=1	Yichun Feng		2025-06-20	2025-06-20	1	1	0				MIT	10.48546/workflowhub.workflow.1744.1	Biomedical_LLM	metap* in description	True
